EUR/JPY;
Date;Clôture
15/08/2019; ¥117,84 
16/08/2019; ¥117,94 
19/08/2019; ¥118,09 
20/08/2019; ¥117,89 
21/08/2019; ¥118,16 
22/08/2019; ¥117,89 
23/08/2019; ¥117,45 
26/08/2019; ¥117,79 
27/08/2019; ¥117,24 
28/08/2019; ¥117,54 
29/08/2019; ¥117,74 
30/08/2019; ¥116,80 
02/09/2019; ¥116,47 
03/09/2019; ¥116,22 
04/09/2019; ¥117,38 
05/09/2019; ¥117,99 
06/09/2019; ¥117,88 
09/09/2019; ¥118,45 
10/09/2019; ¥118,75 
11/09/2019; ¥118,69 
12/09/2019; ¥119,56 
13/09/2019; ¥119,67 
16/09/2019; ¥118,93 
17/09/2019; ¥119,70 
18/09/2019; ¥119,60 
19/09/2019; ¥119,23 
20/09/2019; ¥118,49 
23/09/2019; ¥118,19 
24/09/2019; ¥117,95 
25/09/2019; ¥117,90 
26/09/2019; ¥117,75 
27/09/2019; ¥118,04 
30/09/2019; ¥117,79 
01/10/2019; ¥117,76 
02/10/2019; ¥117,44 
03/10/2019; ¥117,21 
04/10/2019; ¥117,37 
07/10/2019; ¥117,69 
08/10/2019; ¥117,28 
09/10/2019; ¥117,87 
10/10/2019; ¥118,80 
11/10/2019; ¥119,67 
14/10/2019; ¥119,53 
15/10/2019; ¥120,06 
16/10/2019; ¥120,39 
17/10/2019; ¥120,84 
18/10/2019; ¥121,09 
21/10/2019; ¥121,06 
22/10/2019; ¥120,66 
23/10/2019; ¥120,95 
24/10/2019; ¥120,60 
25/10/2019; ¥120,35 
28/10/2019; ¥120,90 
29/10/2019; ¥120,95 
30/10/2019; ¥121,32 
31/10/2019; ¥120,44 
01/11/2019; ¥120,77 
04/11/2019; ¥120,78 
05/11/2019; ¥120,87 
06/11/2019; ¥120,56 
07/11/2019; ¥120,72 
08/11/2019; ¥120,38 
11/11/2019; ¥120,29 
12/11/2019; ¥119,98 
13/11/2019; ¥119,76 
14/11/2019; ¥119,48 
15/11/2019; ¥120,16 
18/11/2019; ¥120,29 
19/11/2019; ¥120,23 
20/11/2019; ¥120,24 
21/11/2019; ¥120,11 
22/11/2019; ¥119,74 
25/11/2019; ¥119,93 
26/11/2019; ¥120,13 
27/11/2019; ¥120,48 
28/11/2019; ¥120,53 
